symptoms,disease,medicine,description,side_effects,severity
fever,Flu,Paracetamol,Take 500mg every 6 hours with water,Nausea rare,mild
fever body ache,Flu,Paracetamol,Take 500mg every 6 hours and rest,Nausea rare,mild
fever chills,Flu,Paracetamol,Take 500mg every 6 hours stay warm,Nausea rare,mild
fever runny nose,Flu,Paracetamol,Take 500mg and drink warm fluids,Nausea rare,mild
cough,Cold,Cough Syrup,Take 10ml three times a day,Drowsiness,mild
cough runny nose,Cold,Cough Syrup,Take 10ml with warm water three times daily,Drowsiness,mild
cough sneezing,Cold,Antihistamine,Take 1 tablet at bedtime,Drowsiness,mild
cough mild fever,Cold,Cough Syrup,Take 10ml and rest well,Drowsiness,mild
headache,Migraine,Ibuprofen,Take 400mg every 8 hours after food,Stomach upset,moderate
headache nausea,Migraine,Ibuprofen,Take 400mg with food and rest in dark room,Stomach upset,moderate
headache light sensitivity,Migraine,Sumatriptan,Take 50mg at onset of migraine,Dizziness,moderate
headache vomiting nausea,Migraine,Sumatriptan,Take 50mg at onset and lie down,Dizziness chest tightness,moderate
stomach pain,Acidity,Antacid,Take 1 tablet after meals,Constipation rare,mild
stomach pain bloating,Acidity,Antacid,Take 1 tablet after meals with water,Constipation rare,mild
stomach pain burning,Acidity,Omeprazole,Take 20mg before breakfast daily,Headache rare,mild
stomach pain nausea,Gastritis,Omeprazole,Take 20mg before breakfast daily for 4 weeks,Headache rare,moderate
stomach pain nausea vomiting,Gastritis,Omeprazole,Take 20mg before breakfast. Avoid spicy food,Headache rare,moderate
stomach pain indigestion,Gastritis,Omeprazole,Take 20mg before breakfast. Eat smaller meals,Headache rare,moderate
sore throat,Throat Infection,Lozenges,Dissolve 1 lozenge every 3-4 hours,None significant,mild
sore throat pain,Throat Infection,Lozenges,Dissolve 1 lozenge every 3-4 hours with warm water,None,mild
sore throat fever,Strep Throat,Amoxicillin,Take 500mg three times daily for 10 days,Diarrhea possible,moderate
